Reference,Qty,Name,Link,Additional,Alternative
BT1,1,LiPo battery,https://makerbazar.in/products/3-7v-250mah-lipo-battery-single-cell-rechargeable?variant=49496666833136,,
C1,1,0.1uF,https://robu.in/product/0-1uf-capacitor-smdc-1206,,https://makerbazar.in/products/1206-smd-smt-mlcc-capacitor?variant=48370327126256
C2,1,100uF,https://robu.in/product/grm31cd80j107me39l-murata-electronics-6-3v-100uf-x6t-%c2%b120-1206-multilayer-ceramic-capacitors-mlcc-smd-smt-rohs,,
"C3,C4",2,1uF,https://robu.in/product/yageo-1uf-50v-smd-multilayer-ceramic-capacitor-pack-of-20,,
C5,1,10uF,https://robu.in/product/yageo-10uf-50v-smd-multilayer-ceramic-capacitor-pack-of-20,,
C6,1,100nF,https://robu.in/product/tcc1206m3l104j500ft-cctc-smt-ceramic-capacitors-1206-m3l-104j100nf%c2%b15-0-rated-voltage50v-thickness1-25mm-tape,,
D5,1,LED,https://robu.in/product/1210-surface-mount-led-red-50-pcs,,
Q3,1,FS8205A,https://robu.in/product/1-month-warranty-398,,
Q4,1,AO3401A,https://robu.in/product/ao3401a-umwyoutai-semiconductor-co-ltd-30v-4-2a-50m%cf%8910v-1-4w-400mv-1-piece-p-channel-sot-23-mosfets-rohs,,
R5,1,330,https://robu.in/product/cr0805j330rp05z-ever-ohms-tech-125mw-thick-film-resistor-%c2%b1100ppm-%e2%84%83-%c2%b15-330%cf%89-0805-chip-resistor-surface-mount-rohs,,
R6,1,2.2k,https://robu.in/product/rc0805fr-072k2l-yageo-125mw-thick-film-resistors-150v-%c2%b1100ppm-%e2%84%83-%c2%b11-2-2k%cf%89-0805-chip-resistor-surface-mount-rohs,,
R7,1,100,https://robu.in/product/ac0805fr-7w100rl-yageo-res-thick-film-0805-100-ohm-1-0-25w1-4w-%c2%b1100ppm-c-pad-smd-t-r-automotive-aec-q200,,
SW1,1,SW_SPDT,https://robu.in/product/4mm-spdt-1p2t-slide-switch-pack-of-10,,
U2,1,DW01A,https://robu.in/product/dw01-a-j-fumen-electronics-co-ltd-protection-ic-for-one-cell-lithium-ion-lithium-polymer-battery-pack-sot-23-6,,
U3,1,MCP1700x-330xxTT,https://robu.in/product/mcp1700t-3302e-tt-microchip-technology-3-3v-250ma-fixed-output-ldo-linear-voltage-regulator-3-pin-sot-23,,
U4,1,module_mpu6050,https://robu.in/product/mpu-6050-gyro-sensor-2-accelerometer,,
U5,1,module_bme280,https://robu.in/product/bmp280-barometric-pressure-and-altitude-sensor-i2c-spi-module,,
U6,1,ESP32-C3_SUPERMINI_SMD,,,
