Reference,Qty,Name,Link,Additional,Alternative
BZ1,1,Integrated Buzzer,https://robu.in/product/tmb12a12-cldz-electromagnetic-active-integrated-buzzer-12v12x9-5mm,,https://makerbazar.in/products/small-active-buzzer?variant=47492470341872
D1,1,Blue,https://robu.in/product/blue-ac-dc12v-16mm-ad16-16e-led-power-pilot-signal-indicator-lamp,,
D2,1,Green,https://robu.in/product/green-ac-dc12v-22mm-ad16-22ds-led-power-pilot-signal-light-indicator,,
D3,1,1N4007,https://robu.in/product/1n4007g-t-diodes-incorporated-1a-1v1a-1kv-do-41-diodes-general-purpose-rohs,,https://makerbazar.in/products/1n5819-schottky-diode-1a-40v-do-41
D4,1,Red,https://robu.in/product/red-ac-dc12v-16mm-led-power-pilot-signal-light,,
F1,1,3A 20mm,https://robu.in/product/0235003-hxp-littelfuse-0235003-hxp-fuse-cartridge-fast-acting-3-a-250-v-5mm-x-20mm-0-2-x-0-79-235,https://robu.in/product/black-10a-250v-520mm-fuse-holder,
J1,1,Battery 6xAA,https://www.amazon.in/Universal-Combo-Mount-Terminal-Connectors/dp/B0GM2DT1X2?crid=TYMB1V27OGXF&dib=eyJ2IjoiMSJ9.tdRkgZuJKn3JqgX12-GMNlMKOsNxkOPhbkhWzmgNiR3gFPetQWAijm3wHFtB2Y1fkaz2E2z_Aigrk_IICz3owlPDioKl3id0ccilmX6BqwT9sZlUZjLJMzeAyXK-5-08EnP8BEjll-I5wHnycAVseoJfss-X6dHwcWJkFnWoztGjbLgxUK5xyDnuAoA1bNns72XllquMZYqSw9CdRV4ptNYD_aHw6I1pVBZh0KETNcQbT1g4Hswl2NR1FNABBd98OhEEaHzkmVnykVNKlxGBYI6EFo4bmZ2RVryNC0pCgUo.-sG42sLzF08w3bzSrZZMog1WN3zKn3wENw3NCFRixjI&dib_tag=se&keywords=screw+terminal+block+connector&qid=1777391632&sprefix=screw+te%2Caps%2C564&sr=8-5,,https://makerbazar.in/products/wire-to-board-screw-terminal-connectors?_pos=4&_sid=4372254b6&_ss=r&variant=48816549658864
J2,1,Igniter,https://www.amazon.in/Universal-Combo-Mount-Terminal-Connectors/dp/B0GM2DT1X2?crid=TYMB1V27OGXF&dib=eyJ2IjoiMSJ9.tdRkgZuJKn3JqgX12-GMNlMKOsNxkOPhbkhWzmgNiR3gFPetQWAijm3wHFtB2Y1fkaz2E2z_Aigrk_IICz3owlPDioKl3id0ccilmX6BqwT9sZlUZjLJMzeAyXK-5-08EnP8BEjll-I5wHnycAVseoJfss-X6dHwcWJkFnWoztGjbLgxUK5xyDnuAoA1bNns72XllquMZYqSw9CdRV4ptNYD_aHw6I1pVBZh0KETNcQbT1g4Hswl2NR1FNABBd98OhEEaHzkmVnykVNKlxGBYI6EFo4bmZ2RVryNC0pCgUo.-sG42sLzF08w3bzSrZZMog1WN3zKn3wENw3NCFRixjI&dib_tag=se&keywords=screw+terminal+block+connector&qid=1777391632&sprefix=screw+te%2Caps%2C564&sr=8-5,,https://makerbazar.in/products/wire-to-board-screw-terminal-connectors?_pos=4&_sid=4372254b6&_ss=r&variant=48816549658864
Q1,1,BC547,https://robu.in/product/bc547-npn-transistor-pack-of-20,,https://robu.in/product/bc547-npn-transistor-pack-of-20
Q2,1,IRF3205,https://robu.in/product/irf3205-mosfet-pack-of-3,,https://makerbazar.in/products/irf-series-n-channel-power-mosfet-transistors
"R1,R4",2,10k,,,
R2,1,2.2k,,,
R3,1,440,https://robu.in/product/30-different-valued-metal-film-resistor-assorted-kit-for-diy-electronic-projects-and-experiments,,
SW1,1,Arm Switch,https://robu.in/product/ks-01-101c-key-switch-12mm-2-positionon-off,,https://makerbazar.in/products/electronic-2pin-key-switch-on-off-metal-lock-switch?variant=48251026833648
SW2,1,Push Button,https://robu.in/product/onpow-las0-q-ds-r-220vt01-22t04-22mm-ac-dc-220v-red-led-pilot-lamp-push-button-ip40sealing-cover-sign-frame-4,,https://robu.in/product/12mm-12v-ring-light-self-lock-non-momentary-metal-push-button-switch-red-light
